Vendor Name,IMPA,Vendor Product Name,Vendor Product Code,CATEGORY,Vendor Price
RUBAFLEX B.V.,331434,"Geaquello® E 950, sealing comp. incl. Mixcup, 15kg A60",scp950-15,,310
RUBAFLEX B.V.,331801,French coupling aluminium Guillemin hose 45mm lug 55mm,frk4555g,,4.75
RUBAFLEX B.V.,331803,French coupling aluminium Guillemin hose 70mm lug 84mm,frk7084g,,9.76
RUBAFLEX B.V.,331807,French coupling aluminium Guillemin F 50mm BSP lug84mm,frk8450gi,,18.75
RUBAFLEX B.V.,331816,French coupling brass Guillemin hose 70mm lug 84mm,frk7084gm,,23.5
RUBAFLEX B.V.,331817,French coupling brass Guillemin F 50mm BSP lug55mm,frk5550gim,,19.5
RUBAFLEX B.V.,331821,French cap aluminium Guillemin +lock lug 55mm,frk55gkap,,15
RUBAFLEX B.V.,331822,French cap aluminium Guillemin +lock lug 70mm,frk70gkap,,13.66
RUBAFLEX B.V.,331823,French cap brass Guillemin +lock lug 55mm,frk55gkapm,,21.25
RUBAFLEX B.V.,331824,French cap brass Guillemin +lock lug 84mm,frk84gkapm,,18.5
RUBAFLEX B.V.,331826,French ring rubber Guillemin lug 55mm,frk55gring,,0.45
RUBAFLEX B.V.,331827,French ring rubber Guillemin lug 84mm,frk84gring,,1.2
RUBAFLEX B.V.,331831,Spanner for coupling French type lug 55mm,sle.frk1.5,,3.25
RUBAFLEX B.V.,331841,Italian UNI coupling brass 45mm hose x UNI45 male/female,uni45,,21.55
RUBAFLEX B.V.,331842,Italian UNI coupling brass 70mm hose x UNI70 male/female,uni70,,45.45
RUBAFLEX B.V.,331843,Italian coupling rubber ring For coupling 45mm UNI 45,uni45ring,,0.75
RUBAFLEX B.V.,331843,NBR rubber gasket UNI45 56 x 37 x 3mm,#70800016,,1.21
RUBAFLEX B.V.,331844,Italian coupling rubber ring For coupling 70mm UNI 70,uni70ring,,0.8
RUBAFLEX B.V.,331844,NBR rubber gasket UNI70 84 x 64 x 3mm,#70800017,,1.21
RUBAFLEX B.V.,331851,Italian UNI coupling brass Female BSP 50mm w/female UNI45,uni4550i,,11.55
RUBAFLEX B.V.,331852,Italian UNI 70 coupling brass F 50mm BSP,uni7050i,,19.15
RUBAFLEX B.V.,331854,Italian UNI 70 coupling brass F 63mm BSP,uni7063i,,7.66
RUBAFLEX B.V.,331855,Italian UNI coupling brass Female BSP 50mm w/male UNI45,uni45u50i,,14.55
RUBAFLEX B.V.,331857,Italian UNI 70 coupling brass F 63mm BSP,uni70u63i,,14.7
RUBAFLEX B.V.,331861,Italian UNI coupling brass UNI 45 cap with chain,uni45kap,,12.95
RUBAFLEX B.V.,331862,Italian UNI coupling brass UNI 70 cap with chain,uni70kap,,17.7
RUBAFLEX B.V.,331863,Spanner for coupling type Nor 1 - 2 - 3,sle.nor,,16.34
RUBAFLEX B.V.,331871,Machino coupling brass 50mm female - F BSP 38mm,mas50f38i,,11.45
RUBAFLEX B.V.,331873,Machino coupling brass 50mm female - F BSP 50mm,mas50f50i,,10.51
RUBAFLEX B.V.,331874,Machino coupling brass 50mm male - Female BSP 50mm,mas50m50i,,19.95
RUBAFLEX B.V.,331875,Machino coupling brass 63mm male - F BSP 50mm,mas63m50i,,21.55
RUBAFLEX B.V.,331876,Machino coupling brass 63mm female - F BSP 50mm,mas63f50i,,24.5
RUBAFLEX B.V.,331877,Machino coupling brass 63mm female - F BSP 63mm,mas63f63i,,41.5
RUBAFLEX B.V.,331878,Machino coupling brass Cap 38mm - female,mas38kap,,12.05
RUBAFLEX B.V.,331879,Machino coupling brass Cap 50mm - female,mas50kap,,12.95
RUBAFLEX B.V.,331880,Machino coupling brass Cap 63mm - female,mas63kap,,32.5
RUBAFLEX B.V.,331881,Nakajima coupling brass F 50mm BSP - lug 61mm,nak6150i,,7.85
RUBAFLEX B.V.,331882,Nakajima coupling brass F 50mm - lug 72mm,nak7250i,,8.25
RUBAFLEX B.V.,331883,Nakajima coupling brass F 50mm - lug 91mm,nak9150i,,12.95
RUBAFLEX B.V.,331884,Nakajima coupling brass F 63mm - lug 91mm,nak9163i,,16.35
RUBAFLEX B.V.,331886,Nakajima coupling brass F 50mm BSP - lug 61mm,nak6150i,,7.85
